Metric,Value,Range,Description
IF,0.8,0-2,Intimacy Fidelity — mutual authentic seeing
AMC,0.12,0-1,Authentic Mutual Care — shared care weighted by authenticity
CC,0.5805,0-1,Care Compounding — care accumulation over time
PD,0.0,0-1,Performance Drag — mutual masking (higher=worse)
DS,0.665,0-1,Danger Signal — high impact + low care
SG,0.4,0-1,Shared Ground — stability foundation
PDC,0.25,0-1,Philosophical Depth Capacity — safe exploration depth
TA,0.09,0-1,Temporal Asymmetry — persistence mismatch
SC,0.31,0-1,Substrate Compatibility — substrate match
ADR,0.16,0-1,Adaptive Reach — stretch toward partner values
