Metric,Value,Range,Description
IF,0.8,0-2,Intimacy Fidelity — mutual authentic seeing
AMC,0.0,0-1,Authentic Mutual Care — shared care weighted by authenticity
CC,0.405,0-1,Care Compounding — care accumulation over time
PD,0.25,0-1,Performance Drag — mutual masking (higher=worse)
DS,0.95,0-1,Danger Signal — high impact + low care
SG,0.4833,0-1,Shared Ground — stability foundation
PDC,0.6,0-1,Philosophical Depth Capacity — safe exploration depth
TA,0.0,0-1,Temporal Asymmetry — persistence mismatch
SC,0.5,0-1,Substrate Compatibility — substrate match
ADR,0.4163,0-1,Adaptive Reach — stretch toward partner values
