Metric,Value,Range,Description
IF,1.6836,0-2,Intimacy Fidelity — mutual authentic seeing
AMC,0.3367,0-1,Authentic Mutual Care — shared care weighted by authenticity
CC,0.1255,0-1,Care Compounding — care accumulation over time
PD,0.0171,0-1,Performance Drag — mutual masking (higher=worse)
DS,0.378,0-1,Danger Signal — high impact + low care
SG,0.26,0-1,Shared Ground — stability foundation
PDC,0.295,0-1,Philosophical Depth Capacity — safe exploration depth
TA,0.06,0-1,Temporal Asymmetry — persistence mismatch
SC,0.53,0-1,Substrate Compatibility — substrate match
ADR,0.24,0-1,Adaptive Reach — stretch toward partner values
